objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement
191,konferans.jpg,,Main Trends in the Ottoman Economy in the Eighteenth Century,Digital Ottoman Studies,1990-11,Main Trends in the Ottoman Economy in the Eighteenth Century,Konferans;İktisat;Yüzyıllar;18.Yy,"ABD,Cambridge,MA;Harvard University",42.37685956,-71.11670659,MG-191,Harvard University,Görüntü,image/jpg,eng,https://www.harvard.edu,
192,konferans.jpg,,Main Trends in the Ottoman Economy in the Eighteenth Century,Digital Ottoman Studies,1990-11,Main Trends in the Ottoman Economy in the Eighteenth Century,Konferans;İktisat;Yüzyıllar;18.Yy,"ABD,New York;Columbia University",40.68361921,-73.88280447,MG-192,Columbia University,Görüntü,image/jpg,eng,https://www.columbia.edu,
193,konferans.jpg,,Osmanlı Bütçelerinin Yapısal Özellikleri,Digital Ottoman Studies,2006-11-15,Osmanlı Bütçelerinin Yapısal Özellikleri,Konferans;İktisat;Bütçe,"Almanya,Münih;Ludwig Maximilian University of Munich",48.15189272,11.57980995,MG-193,Ludwig Maximilian University of Munich,Görüntü,image/jpg,tr,https://www.lmu.de/en/,
194,konferans.jpg,,İktisat Tarihinin İktisat ve Tarih Disiplinleri Arasındaki Konumu ,Digital Ottoman Studies,2010-06-24,İktisat Tarihinin İktisat ve Tarih Disiplinleri Arasındaki Konumu ,Konferans;Tarihçilik;İktisat Tarihçiliği,Elazığ,38.67482619,39.22322541,MG-194,"Açılış Tebliği, II. Türk İktisat Tarihi Kongresi",Görüntü,image/jpg,tr,http://www.titap.org,
195,konferans.jpg,,İktisat Tarihinin İktisat ve Tarih Disiplinleri Arasındaki Konumu ,Digital Ottoman Studies,2010-06-24,İktisat Tarihinin İktisat ve Tarih Disiplinleri Arasındaki Konumu ,Konferans;Tarihçilik;İktisat Tarihçiliği,Elazığ,38.67482619,39.22322541,MG-195,"Sempozyumu Değerlendirme Konuşması, II. Türk İktisat Tarihi Kongresi",Görüntü,image/jpg,tr,http://www.titap.org,
196,konferans.jpg,,Osmanlı Bürokrasisi ve İmparatorluk Ölçüsünde İletişim Ağı,Digital Ottoman Studies,2004-05-17,Osmanlı Bürokrasisi ve İmparatorluk Ölçüsünde İletişim Ağı,Konferans;Devlet;Bürokrasi;İletişim,"Kırgızistan,Bişkek;Kırgızistan-Türkiye Manas Üniversitesi",42.83535161,74.57525069,MG-196,Mytilini kai Kydonies: Mia Amphidromi schesi sto Voreioanatoliko Aigaio,Görüntü,image/jpg,tr,http://www.manas.edu.kg,
197,konferans.jpg,,Olive Oil Production Trends in Eighteenth and Nineteenth Centuries in Mitilini,Digital Ottoman Studies,2003-10-03,Olive Oil Production Trends in Eighteenth and Nineteenth Centuries in Mitilini,Konferans;İktisat;Sanayii;Zeytinyağı;Yüzyıllar;Şehirler;Mitilini;18.Yy;19.Yy,"Yunanistan,Midilli",39.10144444,26.55148142,MG-197,,Görüntü,image/jpg,eng,,
198,konferans.jpg,,Relation Between Ottoman Economic Structure and State Policy,Digital Ottoman Studies,1991-12-03,Relation Between Ottoman Economic Structure and State Policy,Konferans;İktisat;İktisadi Yapı;Devlet,"Yunanistan,Atina",38.03419954,23.74015979,MG-198,National Secientific Foundation,Görüntü,image/jpg,eng,,
199,konferans.jpg,,18. Yüzyılda Osmanlı Dış Ticaretinde Değişme Eğilimleri,Digital Ottoman Studies,2013-07-27,18. Yüzyılda Osmanlı Dış Ticaretinde Değişme Eğilimleri,Konferans;Ticaret;İhracat;Yüzyıllar;18.Yy,Yalova;Yalova Üniversitesi,40.65277996,29.26981038,MG-199,"Yalova Üniversitesi, Osmanlı Sosyal ve Ekonomik Tarihi Kongresi I",Görüntü,image/jpg,tr,https://www.yalova.edu.tr,
200,konferans.jpg,,Sources Ottomanes sur le Commerce Intérieur et Exteriéur des Ports de la Mediterranée Orientale,Digital Ottoman Studies,1991-11-29,Sources Ottomanes sur le Commerce Intérieur et Exteriéur des Ports de la Mediterranée Orientale,Konferans;Ticaret;İç Ticaret;İhracat;Tarihçilik;Kaynaklar;Arşiv;Bölgeler;Doğu Akdeniz,Fransa;CNRS;L'Université d'Aix-Marseille,46.66264567,2.237142037,MG-200,"CNRS, L'Université d'Aix-Marseille, Echanges Maritimes et Contacts Eocio-economiques en Mediterranée et Mers Proches",Görüntü,image/jpg,fr,,
201,konferans.jpg,,Osmanlı Arşiv Kaynaklarına Göre Hocabey’in (Odessa) Kuruluşu,Digital Ottoman Studies,2013-04-18,Osmanlı Arşiv Kaynaklarına Göre Hocabey’in (Odessa) Kuruluşu,Konferans;Tarihçilik;Kaynaklar;Arşiv;Şehirler;Odessa;Hocabey,Ukrayna,49.01577033,31.09826854,MG-201,,Görüntü,image/jpg,tr,,
202,konferans.jpg,,Ottoman Industry in the Eighteenth Century,Digital Ottoman Studies,1990-11,Ottoman Industry in the Eighteenth Century,Konferans;İktisat;Sanayi;Yüzyıllar;18.Yy,"ABD,Binghamton;State University of New York",42.0895226,-75.9693594,MG-202,"State University of New York, Binghamton, International Conference on Manifacturing in the Ottoman Empire and Turkey 1500-1900",Görüntü,image/jpg,eng,https://www.binghamton.edu,
203,konferans.jpg,,18. Yüzyılda Karadeniz Bölgesinde Ticari İlişkilerin Yapısı,Digital Ottoman Studies,1990-10,18. Yüzyılda Karadeniz Bölgesinde Ticari İlişkilerin Yapısı,Konferans;Ticaret;Bölgeler;Karadeniz;Yüzyıllar;18.Yy,"Ukrayna,Kiev",50.54203836,30.51845355,MG-203,,Görüntü,image/jpg,tr,,
204,tecrübe.pdf,,Tecrübe Konuşuyor,Digital Ottoman Studies,2015-02,Tecrübe Konuşuyor,Röportaj;Kişiler;Mehmet Genç,İstanbul,41.1292562,28.88335172,MG-204,Yedikıta Dergisi 78: 60-66,Döküman,application/pdf,tr,https://yedikita.com.tr/hakikati-arayan-insanlara-cok-ihtiyac-var/,
205,röportaj.jpg,,Tevazuyu Hakikati Ararken Öğrendim,Digital Ottoman Studies,2012-05-27,Tevazuyu Hakikati Ararken Öğrendim,Röportaj;Kişiler;Mehmet Genç,İstanbul,41.1292562,28.88335172,MG-205,Yeni Şafak Gazetesi,Görüntü,image/jpg,tr,https://www.yenisafak.com/yenisafakpazar/tevazuyu-hakikati-ararken-ogrendim-385430,
206,röportaj.jpg,,Osmanlı Dünyasında Bayramların Fonksiyonu,Digital Ottoman Studies,1996-05-02,Osmanlı Dünyasında Bayramların Fonksiyonu,Röportaj;Toplum;Bayram,,,,MG-206,Kanal TV 7,Görüntü,image/jpg,tr,https://www.kanal7.com/canli-izle,
207,röportaj.jpg,,Röportaj,Digital Ottoman Studies,2013,Röportaj,Röportaj;Kişiler;Mehmet Genç,,,,MG-207,Derin Tarih,Görüntü,image/jpg,tr,https://www.derintarih.com,
208,röportaj.jpg,,Röportaj,Digital Ottoman Studies,2013-07-21,Röportaj,Röportaj;Kişiler;Mehmet Genç,,,,MG-208,Star Gazetesi,Görüntü,image/jpg,tr,https://www.star.com.tr/pazar/mehmet-genc-mesele-bulmacayi-cozmekti-unvan-degil-haber-774102/%20(?),
209,röportaj.jpg,0cah5mQjkmY,Devletin Bekasında İktisadın Yeri Ne?,Digital Ottoman Studies,2019-02-24,Devletin Bekasında İktisadın Yeri Ne?,Röportaj;Kişiler;Mehmet Genç;İktisat,,,,MG-209,"Büyük Sorular Programı, Habertürk TV ",Görüntü,image/jpg,tr,https://www.haberturk.com/canliyayin,
210,islamekonomisi.pdf,,Prof. Mehmet Genç’le Yapılan Bir Röportaj,Digital Ottoman Studies,,Prof. Mehmet Genç’le Yapılan Bir Röportaj,Röportaj;Kişiler;Mehmet Genç,,,,MG-210,İslam Ekonomisi: Talim ve Tedrik Merkezi,Döküman,application/pdf,tr,https://islamekonomisi.org/osmanli-iktisadi-ve-ilkeleri/,
211,esnaf.pdf,,Tarihimizde Ticaret Ahlakının Kurumsal Gelişimi: Osmanlı’da Esnaf Teşkilatları,Digital Ottoman Studies,2011,Tarihimizde Ticaret Ahlakının Kurumsal Gelişimi: Osmanlı’da Esnaf Teşkilatları,Söyleşi;Ticaret;Ticaret Ahlakı;Esnaf,,,,MG-211,"Kırmızı Beyaz Hayat Kültür Dergisi, 10: 7-13",Döküman,application/pdf,tr,http://www.kirmizibeyaz.com/tarihimizde-ticaret-ahlakinin-kurumsal-gelisimi-osmanlida-esnaf-teskilatlari/,
212,söyleşi.jpg,scUnRAaAPOM,Osmanlı'da Devlet ve Ekonomi,Digital Ottoman Studies,2011-06-01,Osmanlı'da Devlet ve Ekonomi,Söyleşi;Kişiler;Mehmet Genç;İktisat;Devlet,Bilecik,40.16948736,29.9890625,MG-212,,Görüntü,image/jpg,tr,https://www.youtube.com/watch?v=scUnRAaAPOM,
213,söyleşi.jpg,,İslami Finans Kurumlarının Osmanlı Kökenleri,Digital Ottoman Studies,2013-06-22,İslami Finans Kurumlarının Osmanlı Kökenleri,Söyleşi;Kişiler;Mehmet Genç;İktisat;İslami Finans,"İstanbul,Mecidiyeköy;İstanbul Bilimler Akademisi Vakfı",41.06736567,28.9999182,MG-213,"İstanbul Bilimler Akademisi Vakfı, Murat Çizakça ile birlikte, Bab-ı Tarih Sohbetleri",Görüntü,image/jpg,tr,http://www.ibav.org,
214,söyleşi.jpg,,"Osmanlı İktisadi Kurumları: Vakıflar ve Para Vakıfları, Vergi Sistemi ve Dış Ticaret",Digital Ottoman Studies,2013,"Osmanlı İktisadi Kurumları: Vakıflar ve Para Vakıfları, Vergi Sistemi ve Dış Ticaret",Söyleşi;Kişiler;Mehmet Genç;İktisat;Kurumlar;Maliye;Vergi;Ticaret;İhracat;Toplum;Vakıflar;Para Vakfı,"İstanbul,Mecidiyeköy;İstanbul Bilimler Akademisi Vakfı",41.06736567,28.9999182,MG-214,"İstanbul Bilimler Akademisi Vakfı, Murat Çizakça ile birlikte, Bab-ı Tarih Sohbetleri",Görüntü,image/jpg,tr,http://www.ibav.org,
215,söyleşi.jpg,,Mehmet Genç ile Osmanlı’da Ekonomi,Digital Ottoman Studies,2013-04-09,Mehmet Genç ile Osmanlı’da Ekonomi,Söyleşi;Kişiler;Mehmet Genç;İktisat,"Kocaeli,İzmit;Kocaeli Büyükşehir Belediyesi;Türkiye Dil ve Edebiyat Derneği Kocaeli Şubesi ",40.76107771,29.93413119,MG-215,"Kocaeli Büyükşehir Belediyesi, Türkiye Dil ve Edebiyat Derneği Kocaeli Şubesi ",Görüntü,image/jpg,tr,https://www.kocaeli.bel.tr/tr/main/news/haberler/3/mehmet-genc-ile-osmanlida-ekonomi/19530,
216,söyleşi.jpg,,Mehmet Genç İle Söyleşi,Digital Ottoman Studies,2015,Mehmet Genç İle Söyleşi,Söyleşi;Kişiler;Mehmet Genç,,,,MG-216,Sabah Ülkesi: Kültür-sanat ve Felsefe Dergisi,Görüntü,image/jpg,tr,https://www.sabahulkesi.com/2015/08/06/mehmet-genç-ile-söyleşi/,
217,söyleşi.jpg,7C3CR7Arvyg,Osmanlı İktisadi Sistem,Digital Ottoman Studies,2017-12-02,Osmanlı İktisadi Sistem,Söyleşi;Kişiler;Mehmet Genç;İktisat;İktisadi Sistem,,,,MG-217,Turing,Görüntü,image/jpg,tr,https://www.youtube.com/watch?v=7C3CR7Arvyg,
218,söyleşi.jpg,aKO07ont-aQ,Mehmet Genç İle Türk Tarihçiliği,Digital Ottoman Studies,2017-01-29,Mehmet Genç İle Türk Tarihçiliği,Söyleşi;Kişiler;Mehmet Genç;Tarihçilik;Türk Tarihçiliği,,,,MG-218,Sancaktepe Kültür Sanat,Görüntü,image/jpg,tr,https://www.youtube.com/watch?v=aKO07ont-aQ,
219,söyleşi.jpg,7FePAARZ-Fc,Osmanlı'da İktisat Kültürü,Digital Ottoman Studies,2017,Osmanlı'da İktisat Kültürü,Söyleşi;Kişiler;Mehmet Genç;İktisat;İktisadi Düşünce,"İstanbul,Üsküdar;Mavera Eğitim ve Sağlık Vakfı",41.02069033,29.07188532,MG-219,Mavera Eğitim ve Sağlık Vakfı,Görüntü,image/jpg,tr,https://www.youtube.com/watch?v=7FePAARZ-Fc,
220,söyleşi.jpg,cbTGHlmOQyM,Osmanlı Tarihine İktisadi Bakış,Digital Ottoman Studies,2019-03-02,Osmanlı Tarihine İktisadi Bakış,Söyleşi;Kişiler;Mehmet Genç;İktisat;İktisadi Düşünce,,,,MG-220,Önder Çarşamba Sohbetleri,Görüntü,image/jpg,tr,https://www.onder.org.tr/tr/Haber/carsamba-sohbetleri-hb92a9e,
221,söyleşi.jpg,,Mehmet Genç ile Hayatını ve İlim Yolculuğu,Digital Ottoman Studies,2018,Mehmet Genç ile Hayatını ve İlim Yolculuğu,Söyleşi;Kişiler;Mehmet Genç,,,,MG-221,Dünya bizim,Görüntü,image/jpg,tr,https://www.dunyabizim.com/soylesi/mehmet-genc-in-hayati-ve-ilim-yolculugu-h28074.html,
222,söyleşi.jpg,,Söyleşi,Digital Ottoman Studies,2021,Söyleşi,Söyleşi;Kişiler;Mehmet Genç,,,,MG-222,Dünya bizim,Görüntü,image/jpg,tr,https://www.dunyabizim.com/soylesi/mehmet-genc-osmanlilar-toprak-ve-emek-gibi-sermayeyi-de-kontrol-ediyorlar-h835.html,
223,söyleşi.jpg,,Artvinli Ünlü Tarihçi Mehmet Genç'le Söyleşi,Digital Ottoman Studies,2021-03-19,Artvinli Ünlü Tarihçi Mehmet Genç'le Söyleşi,Söyleşi;Kişiler;Mehmet Genç,,,,MG-223,Türkiye Yazarlar Birliği,Görüntü,image/jpg,tr,https://www.tyb.org.tr/artvinli-unlu-tarihci-mehmet-gencle-soylesi-48477h.htm,
224,söyleşi.jpg,7YjxO9Tz0-E,15 Sayfayı 10 Senede Yazdım,Digital Ottoman Studies,2019-02-04,15 Sayfayı 10 Senede Yazdım,Söyleşi;Kişiler;Mehmet Genç,,,,MG-224,"Türk Kahvesi Programı, TVNET",Görüntü,image/jpg,tr,https://www.youtube.com/watch?v=7YjxO9Tz0-E&list=WL,
225,söyleşi.jpg,,Dr. Mehmet Genç ile Söyleşi,Digital Ottoman Studies,2020-09-04,Dr. Mehmet Genç ile Söyleşi,Söyleşi;Kişiler;Mehmet Genç,,,,MG-225,,Görüntü,image/jpg,tr,https://www.dunyabulteni.net/genel-degerlendirme/dr-mehmet-genc-ile-soylesi-ayse-bohurler-h476966.html,
226,,0cah5mQjkmY,Veyis Ateş ile Büyük Sorular Programı ,Digital Ottoman Studies,2019-02-24,Veyis Ateş ile Büyük Sorular Programı ,TV Programı;Tarihçilik;İktisat,İstanbul,41.0766019,29.052495,MG-226,Habertürk,Video,video/mp4,tr,https://www.youtube.com/watch?v=0cah5mQjkmY,
227,,7YjxO9Tz0-E,Ayşe Böhürler ile Türk Kahvesi Programı,Digital Ottoman Studies,2019-02-04,Ayşe Böhürler ile Türk Kahvesi Programı,TV Programı,İstanbul,41.0766019,29.052495,MG-227,TVNET,Video,video/mp4,tr,https://www.youtube.com/watch?v=7YjxO9Tz0-E&list=PLAMl0yExTrnp6RhzJ2lj75pinf7quEzmJ&index=96,
228,,excH4TWsmHI,Salih Tuna ile La Havle Programı,Digital Ottoman Studies,2012-02-22,Salih Tuna ile La Havle Programı,TV Programı,İstanbul,41.0766019,29.052495,MG-228,TVNET,Video,video/mp4,tr,https://www.youtube.com/watch?v=excH4TWsmHI,
229,,tT_HIk4h9aA,İnsanlık Hali Programı ,Digital Ottoman Studies,2018-07-29,İnsanlık Hali Programı ,TV Programı;Tarihçilik,İstanbul,41.0766019,29.052495,MG-229,TRT Haber,Video,video/mp4,tr,https://www.youtube.com/watch?v=tT_HIk4h9aA,
230,,8_zxDAH2mqM,"Uluslararası Genç Derneği, Mehmet Genç hayatını anlatıyor",Digital Ottoman Studies,2018-10-05,"Uluslararası Genç Derneği, Mehmet Genç hayatını anlatıyor",TV Programı,İstanbul,41.0766019,29.052495,MG-230,Akademik Çalışmalar Youtube Kanalı ,Video,video/mp4,tr,https://www.youtube.com/watch?v=8_zxDAH2mqM,
231,,mRhrcZkYpUQ,"Derin Tarih Programı, Osmanlı Ekonomisinin Bilinmeyenleri",Digital Ottoman Studies,2017-04-22,"Derin Tarih Programı, Osmanlı Ekonomisinin Bilinmeyenleri",TV Programı;İktisat;İktisadi Sistem;Kapitülasyonlar;Tarihçilik;Dönemlendirme,İstanbul,41.0766019,29.052495,MG-231,Derin Tarih Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=mRhrcZkYpUQ,
232,,v6VA00gO-Ek,Makam Arabası Programı 1. Bölüm,Digital Ottoman Studies,2013-03-17,Makam Arabası Programı 1. Bölüm,TV Programı,İstanbul,41.0766019,29.052495,MG-232,İstanbul Şehir Üniversitesi,Video,video/mp4,tr,https://www.youtube.com/watch?v=v6VA00gO-Ek,
233,,zMIE7gd-ZrI,Makam Arabası Programı 2. Bölüm,Digital Ottoman Studies,2013-03-17,Makam Arabası Programı 2. Bölüm,TV Programı,İstanbul,41.0766019,29.052495,MG-233,İstanbul Şehir Üniversitesi,Video,video/mp4,tr,https://www.youtube.com/watch?v=zMIE7gd-ZrI,
234,,muEq--sdMqQ,Makam Arabası Programı 3. Bölüm,Digital Ottoman Studies,2013-03-17,Makam Arabası Programı 3. Bölüm,TV Programı,İstanbul,41.0766019,29.052495,MG-234,İstanbul Şehir Üniversitesi,Video,video/mp4,tr,https://www.youtube.com/watch?v=muEq--sdMqQ,
235,,yc7qQUy3VeE,Makam Arabası Programı 4. Bölüm,Digital Ottoman Studies,2013-03-17,Makam Arabası Programı 4. Bölüm,TV Programı,İstanbul,41.0766019,29.052495,MG-235,İstanbul Şehir Üniversitesi,Video,video/mp4,tr,https://www.youtube.com/watch?v=yc7qQUy3VeE&t=1426s,
236,,eSrUHkBafws,Söz Sende Programı,Digital Ottoman Studies,2011-07-19,Söz Sende Programı,TV Programı,İstanbul,41.0766019,29.052495,MG-236,Habertürk,Video,video/mp4,tr,https://www.youtube.com/watch?v=eSrUHkBafws,
237,,YAwDZCG69v8,Osmanlı İmparatorluğu'nun Klasik Dönemde Devletin Ekonomiye Bakışı,Digital Ottoman Studies,2016-04-23,Osmanlı İmparatorluğu'nun Klasik Dönemde Devletin Ekonomiye Bakışı,Konuşma;Klasik Dönem;İktisat;İktisadi Sistem,İstanbul,41.0766019,29.052495,MG-237,Turing Kültür Sanat Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=YAwDZCG69v8,
238,,j-s8FTJ5h_k,Osmanlı İktisadi ve İçtimai Sisteminde Vakıflar,Digital Ottoman Studies,2016-03-30,Osmanlı İktisadi ve İçtimai Sisteminde Vakıflar,Konuşma;Toplum;Vakıflar;İktisat;İktisadi Sistem;Kurumlar,İstanbul,41.0766019,29.052495,MG-238,Türkiye Bilimler Akademisi Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=j-s8FTJ5h_k,
239,,8r0QMqYB4VQ,Türkiye’de İktisat Tarihçiliğinin Dünü Bugünü ve Otobiyografik Gözlemler,Digital Ottoman Studies,2012-02-23,Türkiye’de İktisat Tarihçiliğinin Dünü Bugünü ve Otobiyografik Gözlemler,Konuşma;Tarihçilik;İktisat Tarihçiliği,İstanbul,41.0766019,29.052495,MG-239,Tarih Vakfı Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=8r0QMqYB4VQ,
240,,aKO07ont-aQ,Türk Tarihçiliği,Digital Ottoman Studies,2017-01-26,Türk Tarihçiliği,Konuşma;Tarihçilik;Türk Tarihçiliği;Kişiler;Erol Güngör,İstanbul,41.0766019,29.052495,MG-240,Sancaktepe Kültür Sanat Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=aKO07ont-aQ,
241,,7FePAARZ-Fc,Osmanlı'da İktisat Kültürü,Digital Ottoman Studies,2017-11-03,Osmanlı'da İktisat Kültürü,Konuşma;İktisat;İktisadi Düşünce,İstanbul,41.0766019,29.052495,MG-241,Mavera Vakfı Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=7FePAARZ-Fc,
242,,7C3CR7Arvyg,Osmanlı İktisadi Sistemi,Digital Ottoman Studies,2017-12-02,Osmanlı İktisadi Sistemi,Konuşma;İktisat;İktisadi Sistem,İstanbul,41.0766019,29.052495,MG-242,Turing Kültür Sanat Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=7C3CR7Arvyg,
243,,NqzR7sJTLZY,Türkiye Tarihçiliği,Digital Ottoman Studies,2019-01-20,Türkiye Tarihçiliği,Konuşma;Tarihçilik;Türk Tarihçiliği,İstanbul,41.0766019,29.052495,MG-243,Turing Kültür Sanat Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=NqzR7sJTLZY,
244,,WaUAF9KQyso,Türk Tarihçiliği,Digital Ottoman Studies,2016-12-03,Türk Tarihçiliği,Konuşma;Tarihçilik;Türk Tarihçiliği,İstanbul,41.0766019,29.052495,MG-244,Turing Kültür Sanat Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=WaUAF9KQyso,
245,,-xAhzwbnJFA,Osmanlı Devleti'nin İktisadi Geçmişi,Digital Ottoman Studies,2017-04-04,Osmanlı Devleti'nin İktisadi Geçmişi,Konferans;İktisat;İktisadi Düşünce;Kişiler;Erol Özvar,İstanbul,41.0766019,29.052495,MG-245,Milli Saraylar Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=-xAhzwbnJFA,
246,,GuJk16SCoPc,Osmanlı İmparatorluğunda Devlet ve Ekonomi Sempozyumu,Digital Ottoman Studies,2002-04-29,'Osmanlı İmparatorluğunda Devlet ve Ekonomi'' kitabı üzerine,Konferans;Tarihçilik,İstanbul,41.0766019,29.052495,MG-246,Bisav TV,Video,video/mp4,tr,https://www.youtube.com/watch?v=GuJk16SCoPc,
247,,DSbpmL8L6NQ,Taşköprülüzade'nin Dünyası Sempozyumu Açılış Oturumu - 16. Yüzyıl Osmanlı Dünyasına Genel Bir Bakış,Digital Ottoman Studies,2018-07-23,Taşköprülüzade'nin Dünyası Sempozyumu Açılış Oturumu - 16. Yüzyıl Osmanlı Dünyasına Genel Bir Bakış,Sempozyum;16 yy;Kişiler;Taşköprülüzade,İstanbul,41.0766019,29.052495,MG-247,Akademik Çalışmalar Youtube Kanalı ,Video,video/mp4,tr,https://www.youtube.com/watch?v=DSbpmL8L6NQ,
248,,duHXusjLT4w,Osmanlı İktisadi Sistemi ve Vakıflar,Digital Ottoman Studies,2019-05-08,Osmanlı İktisadi Sistemi ve Vakıflar,Konferans;Toplum;Vakıflar;İktisat;İktisadi Sistem,Sakarya,40.74211,30.33296,MG-248,Sasgem SAU Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=duHXusjLT4w,
249,,S19KEz_QRBk,OSARK - 2015 Açılış Konferansı- I,Digital Ottoman Studies,2015-10-14,OSARK - 2015 Açılış Konferansı- I,Konferans;Tarihçilik;Kaynaklar,Sakarya,40.74211,30.33296,MG-249,SAU Tarih Bölümü Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=S19KEz_QRBk,
250,,YGAoBDc9qmI,Marmara Üniversitesi Akademik Yıl Açılış Dersi,Digital Ottoman Studies,2020-10-28,"""Osmanlı İmparatorluğu’nda Devlet ve Ekonomi"" | Marmara Ü. Akademik Yıl Açılış Dersi",Konferans,İstanbul,41.0766019,29.052495,MG-250,Akademik Çalışmalar Youtube Kanalı ,Video,video/mp4,tr,https://www.youtube.com/watch?v=YGAoBDc9qmI,
251,,99eID5HSTbE,Osmanlı’da Ermeni Esnaflar,Digital Ottoman Studies,2018-12-08,Osmanlı’da Ermeni Esnaflar,Konferans;Ticaret;Esnaf;Toplum;Ermeniler,İstanbul,41.0766019,29.052495,MG-251,Ortaköy Lusavorich Foundation Research Society,Video,video/mp4,tr,https://www.youtube.com/watch?v=99eID5HSTbE,
252,,P-5ZYyauYWc,Türk Tarih Kurumu Sosyal Bilimler Seminerleri - Osmanlı İktisat Tarihi ve Kurumları Üzerine,Digital Ottoman Studies,2013,Türk Tarih Kurumu Sosyal Bilimler Seminerleri - Osmanlı İktisat Tarihi ve Kurumları Üzerine,Konferans;Tarihçilik;İktisat Tarihçiliği;İktisat;Kurumlar,İstanbul,41.0766019,29.052495,MG-252,Akademik Çalışmalar Youtube Kanalı ,Video,video/mp4,tr,https://www.youtube.com/watch?v=P-5ZYyauYWc,
253,,ekv9SJ8qQ6Q,Mehmet Genç Belgeseli 1. Bölüm,Digital Ottoman Studies,2011-10-30,Mehmet Genç Belgeseli 1. Bölüm,Belgesel,İstanbul,41.0766019,29.052495,MG-253,Tarih TV Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=ekv9SJ8qQ6Q,
254,,jwZLgGqXp54,Mehmet Genç Belgeseli 1. Bölüm,Digital Ottoman Studies,2011-10-30,Mehmet Genç Belgeseli 1. Bölüm,Belgesel,İstanbul,41.0766019,29.052495,MG-254,Tarih TV Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=jwZLgGqXp54,
255,,OnDWbUneQBk,"""Arhavi'den Arşive"" Mehmet Genç'in Ardından",Digital Ottoman Studies,2021-04-11,"""Arhavi'den Arşive"" Mehmet Genç'in Ardından",Konuşma,İstanbul,41.0766019,29.052495,MG-255,İstanbul İktisat Fakültesi Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=wtsHHiReNTg&t=5103s,
256,dogu.jpg,,İstanbul Şehir Üniversitesi Doğu Kampüsü,Digital Ottoman Studies,2011-01-22,İstanbul Şehir Üniversitesi Doğu Kampüsü'nden bir fotoğraf.,Portre,"İstanbul,Altunizade",41.025594,29.045055,MG-256,Abdullah Bilal Akbulut,Görüntü,image/jpg,,https://pt.trekearth.com/gallery/Middle_East/Turkey/photo1278334.htm,
257,dunyabizim.png,,Dünya Bizim Röportajı ,Digital Ottoman Studies,2021-04-15,Dünya Bizim Röportajı ,Röportaj,İstanbul,41.0766019,29.052495,MG-257,Dünya Bizim,Görüntü,image/png,,https://www.dunyabizim.com/soylesi/mehmet-genc-in-hayati-ve-ilim-yolculugu-h28074.html,
258,dunyabizim2.png,,Dünya Bizim Röportajı ,Digital Ottoman Studies,2021-04-15,Dünya Bizim Röportajı ,Röportaj,İstanbul,41.0766019,29.052495,MG-258,Dünya Bizim,Görüntü,image/png,,https://www.dunyabizim.com/soylesi/mehmet-genc-in-hayati-ve-ilim-yolculugu-h28074.html,
259,kadem.png,,Kadem Semineri,Digital Ottoman Studies,2019,Kadem Semineri,Seminer,İstanbul,41.0766019,29.052495,MG-259,KADEM,Görüntü,image/png,,https://www.kademvakfi.org/Etkinlikler/misafirlerimiz/mehmet-genc-16-14,
260,kadem2.png,,Kadem Semineri,Digital Ottoman Studies,2019,Kadem Semineri,Seminer,İstanbul,41.0766019,29.052495,MG-260,KADEM,Görüntü,image/png,,https://www.kademvakfi.org/Etkinlikler/misafirlerimiz/mehmet-genc-16-14,
261,academia.jpg,,Academia Profil Fotoğrafı,Digital Ottoman Studies,,Academia Profil Fotoğrafı,Portre,İstanbul,41.0766019,29.052495,MG-261,Academia,Görüntü,image/jpg,,https://sehir.academia.edu/MGen%C3%A7,
262,anadolu.jpg,,Halil İnalcık Anma Programı,Digital Ottoman Studies,2019,Halil İnalcık Anma Programı,Anma Programı;İlber Ortaylı;Özer Ergenç,İstanbul,41.0766019,29.052495,MG-262,Anadolu Ajansı,Görüntü,image/jpg,,,
263,anadolu2.jpg,,TÜBA 2015 Ödül Töreni,Digital Ottoman Studies,2015,TÜBA 2015 Ödül Töreni,Ödül Töreni;Recep Tayyip Erdoğan,Ankara,39.93226,32.8609,MG-263,Anadolu Ajansı,Görüntü,image/jpg,,,
